All_All1 "150.251.006.000/24"
NAM_US-PAR1 "10.080.224.000/22"
NAM_US-PAS1 "10.169.088.000/22"
NAM_US-PLF1 "172.016.018.192/27"
NAM_US-PLS1 "10.169.164.000/22"
NAM_US-PLS2 "172.020.004.000/24"
NAM_US-PRI1 "10.100.009.000/25"
NAM_US-PRI2 "10.160.192.000/19"
NAM_US-PRI3 "10.240.032.000/24"
NAM_US-PRI4 "192.168.140.000/24"
NAM_US-PRI5 "192.168.232.000/22"
NAM_US-PTA1 "10.080.004.000/24"
NAM_US-ROA1 "10.169.180.000/22"
NAM_US-SAB1 "164.084.084.128/28"
NAM_US-SDB1 "10.097.128.000/20"
NAM_US-SDB2 "192.168.014.000/29"
NAM_US-SHR1 "10.169.192.000/22"
NAM_US-SNY1 "10.169.024.000/21"
NAM_US-SNY2 "10.169.168.000/22"
NAM_US-SNY3 "172.020.001.000/24"
NAM_US-SPA1 "10.169.008.000/22"
NAM_US-SPA2 "10.169.016.000/21"
NAM_US-STA1 "10.097.000.000/20"
NAM_US-STA2 "164.084.001.000/24"
NAM_US-STA3 "164.084.004.000/22"
NAM_US-STA4 "164.084.008.000/22"
NAM_US-TUS1 "10.169.224.032/27"
NAM_US-UPK1 "10.161.128.000/19"
NAM_US-VER1 "10.169.048.000/21"
NAM_US-WDS1 "10.097.144.000/20"
NAM_US-WII1 "10.097.048.000/20"
NAM_US-WII2 "164.084.110.000/23"
NAM_US-WII3 "164.084.112.000/23"
NAM_US-WII4 "164.084.114.000/24"
NAM_US-WIL1 "10.080.208.000/24"
NAM_US-WIL2 "10.080.216.000/21"
NAM_US-WIN1 "10.169.072.000/22"
NAM_US-WIN2 "10.169.076.000/22"
NAM_US-WTD1 "10.080.192.000/21"
NAM_ZZ-BAR1 "12.189.238.162/32"
NAM_ZZ-GEL1 "205.173.088.000/22"
NAM_ZZ-INF1 "10.251.000.013/32"
NAM_ZZ-ORC1 "172.016.079.000/24"
NAM_ZZ-SDI1 "10.251.000.011/32"
NAM_ZZ-SDI2 "10.251.000.012/32"
